log_loss,accuracy,f1,auc,percision,CV,transform,features_selection,dim_red,model,features_selections,ID
8.519408982882236,0.7636363636363637,0.7592592592592593,0.7669098143236074,0.82,1,StandardScaler,,LLE,XGBClassifier,LogisticRegressionCV,0
10.157756864205744,0.7181818181818181,0.743801652892562,0.7146892655367232,0.7258064516129032,2,StandardScaler,,LLE,XGBClassifier,LogisticRegressionCV,0
10.157756864205743,0.7181818181818181,0.6666666666666667,0.710013440860215,0.6888888888888889,3,StandardScaler,,LLE,XGBClassifier,LogisticRegressionCV,0
6.225721949029326,0.8272727272727273,0.8288288288288289,0.8292440318302388,0.8679245283018868,4,StandardScaler,,LLE,XGBClassifier,LogisticRegressionCV,0
6.553391525294027,0.8181818181818182,0.8,0.817999330879893,0.7843137254901961,5,StandardScaler,,LLE,XGBClassifier,LogisticRegressionCV,0
8.847078559146937,0.7545454545454545,0.7692307692307693,0.7566075610572098,0.8035714285714286,6,StandardScaler,,LLE,XGBClassifier,LogisticRegressionCV,0
6.881061101558728,0.8090909090909091,0.792079207920792,0.8083333333333333,0.7843137254901961,7,StandardScaler,,LLE,XGBClassifier,LogisticRegressionCV,0
9.830087287941042,0.7272727272727273,0.736842105263158,0.7274535809018567,0.75,8,StandardScaler,,LLE,XGBClassifier,LogisticRegressionCV,0
8.597568698321522,0.7614678899082569,0.7547169811320755,0.7663962136578769,0.8333333333333334,9,StandardScaler,,LLE,XGBClassifier,LogisticRegressionCV,0
8.928244417487734,0.7522935779816514,0.7378640776699028,0.7528813559322034,0.7169811320754716,10,StandardScaler,,LLE,XGBClassifier,LogisticRegressionCV,0
